id,Entity,text,url,gt,gemini-flash,gemini-pro,gemini-flash-vlm,train
00083.jsonl.gz-11521376,Hill,Cypress Hill Wallpaper by phillip0159 on DeviantArt,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/a3040c4c-8f57-4df5-b027-9d8d2d964e54/d8n0uf-a466e426-8dd0-4254-ae60-0d699ea4ea56.jpg/v1/fill/w_800,h_600,q_75,strp/cypress_hill_wallpaper_by_phillip0159.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwic3ViIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl0sIm9iaiI6W1t7InBhdGgiOiIvZi9hMzA0MGM0Yy04ZjU3LTRkZjUtYjAyNy05ZDhkMmQ5NjRlNTQvZDhuMHVmLWE0NjZlNDI2LThkZDAtNDI1NC1hZTYwLTBkNjk5ZWE0ZWE1Ni5qcGciLCJ3aWR0aCI6Ijw9ODAwIiwiaGVpZ2h0IjoiPD02MDAifV1dfQ.hK9WiuZZbeHPqUqNPWfVy6toFYm9MJHyR0cxwSbNxr0",no,united states,no,united states,0
404838,Valley,Artist's Point at Monument Valley Navajo Tribal Park.,https://www.featurepics.com/FI/Thumb300/20090621/Artist-Point-Monument-Valley-Navajo-Tribal-Park-1221913.jpg,united states,united states,united states,united states,0
844043,Wedding Dress,Tulle Organza Lace Beading Applique Strapless Floor Length Chapel Train A-Line Wedding Dress,http://s.ecrater.com/stores/361780/55a208af177e4_361780b.jpg,no,no,no,italy,0
399811,Shop,1964 Ford Econoline and Falcon Club Wagon Shop Manual Supplement,https://cdn11.bigcommerce.com/s-oky81sr/images/stencil/240x240/products/11351/18250/64-econoline-sup__86559.1518735579.jpg?c=2,no,no,no,united states,0
00091.jsonl.gz-4274914,House,3d green house wave logo stock photo   image 36592170,https://thumbs.dreamstime.com/z/d-green-house-wave-logo-glossy-illustration-36592170.jpg,no,no,no,-1,0
00052.jsonl.gz-4838925,Beach,"Sunrise on tropical beach, friends playing beach volleyball Sunrise on tropical beach, friends playing beach volleyball beach volleyball stock videos & royalty-free footage",https://media.istockphoto.com/videos/sunrise-on-tropical-beach-friends-playing-beach-volleyball-video-id1154539414?s=640x640,no,no,no,-1,0
00072.jsonl.gz-3430673,Beach,Beautiful Beach Master Bedroom Ideas,http://helgadavis.com/wp-content/uploads/01-Beautiful-Beach-Master-Bedroom-Ideas-001-695x1024.jpg,no,no,no,-1,0
180347,Lake,Lady of the Lake Canvas Print,"http://ih0.redbubble.net/image.22642756.2308/mp,220x200,matte,ffffff,t-pad,220x200,ffffff.3.jpg",no,no,no,-1,0
00064.jsonl.gz-9205858,Flag,LGBT Gay Pride Rainbow Flag Postcards,http://rlv.zcache.com.au/lgbt_gay_pride_rainbow_flag_postcards-r9612480d05f24b21aca09341d60eb409_vgbaq_8byvr_324.jpg,no,no,no,no,0
00086.jsonl.gz-412233,Island,"Luxury Magnetic Wristwatch For Ladies | Watches for sale in Lagos State, Lagos Island",https://d3re0f381bckq9.cloudfront.net/38866615_img-20191107-wa0095_180x144.jpg,nigeria,nigeria,nigeria,-1,0
00087.jsonl.gz-16027717,Kitchen,Closeup of a Black Spermint plant. It is used as kitchen herb for tea and spice. - stock photo,https://thumb9.shutterstock.com/image-photo/stock-photo-closeup-of-a-black-spermint-plant-it-is-used-as-kitchen-herb-for-tea-and-spice-450w-417373786.jpg,no,no,no,no,0
342232,Office,"Tunis, Tunisia. January 26th 2011.Protesters outside the prime minister's office (Mohammed Ghannouchi), located on the Kasbah square. They demand the removal of members of the ousted president's regime (Zine El Abidine Ben Ali) still in the government.....",https://ssl.c.photoshelter.com/img-get2/I0000LTncsR9wZiQ/fit=1000x750/g=G0000DqvgfNkpsIg/cb-2011-01-26-0178.jpg,tunisia,tunisia,tunisia,-1,0
00084.jsonl.gz-2371665,Island,"Beach Club 205 Apartment, Apartments  Saint Simons Island - big - 14",https://q-xx.bstatic.com/xdata/images/hotel/max300/161206739.jpg?k=7f6b295cc2915469ca4307b799fa27061f3e7a5b7e973d0e5d065713bdde7ace&o=,united states,united states,united states,united states,0
193986,Office,Office Spa: Stress Relief For The Working Week  by  Darrin Zeer,https://i.gr-assets.com/images/S/photo.goodreads.com/books/1267447013i/7394673.jpg,no,belgium,no,no,0
00033.jsonl.gz-15921469,Apartment,"Fully equipped, sunny apartment for rent in central Budapest, wi",https://d1bvpoagx8hqbg.cloudfront.net/originals/fully-equipped-sunny-apartment-rent-central-budapest-excellent-transport-c7079a96f0f01d21852e6b3112b79732.jpg,hungary,hungary,hungary,hungary,0
00018.jsonl.gz-10189013,Island,516-31 Cobbleskill 3 Light Island Chandelier Innovations,https://lightingoutfitters.com/media/catalog/product/cache/1/small_image/270x/9df78eab33525d08d6e5fb8d27136e95/5/1/516_31_g122.png,no,united states,united states,-1,0
00118.jsonl.gz-1286634,Beach,"Skydive over the Beach - 15,000ft  - Brisbane - Weekend",https://production-ap01-redballoon.demandware.net/dw/image/v2/BCRD_PRD/on/demandware.static/-/Sites-rb-au-catalog/default/images/products/RCS003-M/gbedf1uk8sbrkgffahi7.jpg?sw=1160&amp;sh=637&amp;q=70,australia,no,australia,-1,0
00051.jsonl.gz-4682288,Car,"PERAST, MONTENEGRO - AUGUST 27. fire retro car on the waterfront Royalty Free Stock Photography",https://thumbs.dreamstime.com/t/perast-montenegro-august-fire-retro-car-waterfront-town-old-town-located-shores-45511127.jpg,montenegro,montenegro,montenegro,montenegro,0
750079,Jewelry,Men Jewelry High Quality 18K Rose Gold Plated Fast and Furious Jesus Cross Pendant Necklace Jewelry for Men 18KGP N704,http://i01.i.aliimg.com/wsphoto/v1/1427318319_1/Men_Jewelry_High_Quality_18K_Rose_Gold_Plated_Fast_and_Furious_Jesus_Cross_Pendant_Necklace_Jewelry_for_Men_18KGP_N704.jpg_200x200.jpg,no,no,no,-1,0
00092.jsonl.gz-3242906,Car,Portrait of mature owner of car wash standing below signboard with vehicle,https://ssl.c.photoshelter.com/img-get2/I000068xFObfdulE/fill=/fit=180x180/I000068xFObfdulE.jpg,no,no,no,no,0
830092,Valley,Nature Valley 100% Natural Fruit & Nut Chewy Trail Mix Bars Food Product Image,https://allergeninsidedatastore.blob.core.windows.net/images/products/016000439801/016000439801-image.jpg,no,no,no,pakistan,0
00027.jsonl.gz-7133474,House,Be Rebel AF Pop-Up Bar (Corfe House),https://www.subu.org.uk/asset/Event/6013/AF-Rebel-logo.jpg?thumbnail_width=400&thumbnail_height=400&resize_type=CropToFit,united kingdom,united kingdom,united kingdom,united kingdom,0
00014.jsonl.gz-16544585,Island,Lilly Pulitzer - Marco Island Tunic,https://www.zappos.com/images/z/3/4/6/2/6/4/3462646-p-LARGE_SEARCH.jpg,united states,united states,united states,-1,0
00045.jsonl.gz-2944361,Bedroom,Bedroom Furniture Wall Unit Sets Units Pier,https://www.apppie.org/ktm_cdn/wa/bedroom-furniture-wall-unit-sets-units-pier_wall-bedroom-decoration-700x450.jpg,no,no,no,-1,0
00108.jsonl.gz-10925686,Car,HPI electric drift car,https://cdn.shopify.com/s/files/1/0106/5009/1601/products/96_530x@2x.jpg?v=1571720211,no,no,no,-1,0
00059.jsonl.gz-6048631,Toilet,Andrex Toilet Rolls 2-Ply Classic [PackÃÂ ofÃÂ 9],https://www.officepad.co.uk/medlgsp/4/495704.jpg,no,no,united kingdom,united kingdom,0
00080.jsonl.gz-4751650,Apartment,Dining area in the apartment,https://r-cf.bstatic.com/images/hotel/max300/206/206513983.jpg,no,no,no,-1,0
00029.jsonl.gz-5682549,Hotel,Dorsett Regency Hotel Hong Kong,http://media-cdn.tripadvisor.com/media/photo-l/02/37/d9/7c/grand-harbour-view-room.jpg,hong kong,china,china,china,0
00073.jsonl.gz-5977769,Mountain,Lake Hayes with snow mountain reflections Royalty Free Stock Images,https://thumbs.dreamstime.com/t/lake-hayes-snow-mountain-reflections-28526779.jpg,new zealand,no,new zealand,new zealand,0
00083.jsonl.gz-4939864,Toilet,American Standard Colony 1.6 GPF Elongated Two-Piece Toilet; White,https://www.staples-3p.com/s7/is/image/Staples/m005903297_sc7?wid=512&amp;hei=512,united states,united states,no,united states,0
631144,Lake,"The Center for Wooden Boats in South Lake Union offers sailing classes, lessons, art exhibits and plenty of nautical history. Photo by Daniel Berman",https://ssl.c.photoshelter.com/img-get/I0000qegAZUuZWLY/s/750/750/Bermanphotos-05092017-DiscoverSLU-CenterforWoodenBoats-14.jpg,united states,united states,united states,-1,0
623827,Living Room,Living Room Interior Design For Small Spaces Living Room How To Decorate Your Home On A Budget Interior,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_5-sl21ymhZac9bVcvct46scjveHQcD4xooPHoiUXuTIezuc8Eg,no,united states,no,no,0
391881,Shop,Grey bridesmaid dress - www.etsy.com/shop/RenzRags,https://i0.wp.com/themerrybride.files.wordpress.com/2015/04/grey-bridesmaid-dress-www-etsy-comshoprenzrags.jpg?w=355&,no,no,no,no,0
00119.jsonl.gz-580123,Flag,Garden Flag Easter Basket Textured Suede,https://cdn.shopify.com/s/files/1/0359/7818/2794/products/14ES9511_580x.jpg?v=1609551413,no,no,no,no,0
00099.jsonl.gz-2189248,Road,Fayee FY004A 1/16 RC Militaire Truck Radio Machine 6WD Gevolgd Off-Road Crawler RTR Afstandsbediening Auto voor Kinderen 6.19(China),https://ae01.alicdn.com/kf/HTB1JeAydf1G3KVjSZFkq6yK4XXaG/Fayee-FY004A-1-16-RC-Military-Truck-Radio-Machine-6WD-Tracked-Off-Road-Crawler-RTR-Remote.jpg_220x220q90.jpg,china,china,china,china,0
00076.jsonl.gz-16499989,Mountain,"Castle Ort And Traunsee With Alps Mountain Range In The Background - Gmunden, Upper Austria, Austria, Europe - stock photo",https://thumb9.shutterstock.com/image-photo/stock-photo-castle-ort-and-traunsee-with-alps-mountain-range-in-the-background-gmunden-upper-austria-450w-403032076.jpg,austria,austria,austria,austria,0
00103.jsonl.gz-12669478,Bedroom,ball packaging rugby - 7pcs Soccer player boy with rugby ball Sport wall sticker art decoration wall decal for boy kid Fan bedroom,http://www.dhresource.com/200x200s/f2-albu-g2-M01-1C-D8-rBVaGlS3Y6uAK1krAAJcxcw7JQw412.jpg/7pcs-soccer-player-boy-with-rugby-ball-sport.jpg,no,no,no,no,0
577291,Jewelry,Silver Alloy Y00419 Jewelry Yves Saint Laurent,https://www.perfectimitationshop.com/items_photo/172x172/silver-alloy-y00419-jewelry-yves-saint-laurent-1.jpg,no,france,no,-1,0
00059.jsonl.gz-9803178,Road,Photo 3: 3324 BARR Road NW in Calgary: Brentwood Detached for sale : MLSÃÂ®# A1026193,https://iss-cdn.myrealpage.com/upIoaT9Uk-KJ7KD6k0hq2vjIL386PiOOf_6d7bHgS-U/auto/320/0/sm/0/aHR0cDovL3MzLmFtYXpvbmF3cy5jb20vbXJwLWxpc3RpbmdzLzYvNS83LzkyNjUzNzU2LzY3NGEwNGU5ZTczZGMxYTkzNGIwNWQ3MjJlNzBlNDQ3LmpwZWc,canada,canada,canada,canada,0
00039.jsonl.gz-13866703,Beach,Monterosso Al Mare / Italy - May 28 2018: View Of The Village And The Beach. Monterosso Is The Weste,https://static2.bigstockphoto.com/0/7/3/large2/370732351.jpg,italy,italy,italy,-1,0
00041.jsonl.gz-16711506,Bedroom,Awesome Teen Bedroom Decor,https://steeringnews.com/wp-content/uploads/2018/03/teenage-girl-bedroom-ideas-7-2.jpg,no,no,no,-1,0
00095.jsonl.gz-5277068,Toilet,RAK Bathware Metropolitan BTW Back Inlet Toilet Suite Soft Close,https://cdn.shopify.com/s/files/1/1115/9004/products/Screen_Shot_2016-01-21_at_6.25.22_PM_small.png?v=1453361229,no,no,no,-1,0
433593,Lake,2 Beds - The Chateau at 901 Druid Park Lake Drive in Baltimore MD is a Apartment,http://i.oodleimg.com/item/3877606032u_1x424x360f_apartments_for_rent_in_baltimore_md/?1477387137,united states,united states,united states,-1,0
923777,Office,"Regus Crows Nest, private office at Crows Nest, image 1",https://spacely-attachment-store-production.imgix.net/space_attachments/8532/00a3f04b83d1212d039f8b4969281ccf.jpg?ixlib=rails-2.1.4&auto=format&dpr=1&crop=faces&fit=crop&w=270&h=200&ixlib=react-7.2.0,australia,australia,australia,australia,0
379143,Office,Two cheerful young businessmen using tablet on business meeting in office - Stock Photo,https://l450v.alamy.com/450v/h8n8w8/two-cheerful-young-businessmen-using-tablet-on-business-meeting-in-h8n8w8.jpg,no,no,no,no,0
866147,Office,Office Interior Painting,https://certapro.com/seminolecounty/wp-content/uploads/sites/1170/cache/2017/02/Commercial_interior_cubicles_office_desks_office_space/766214179.jpg,no,no,no,no,0
00020.jsonl.gz-10771404,Mountain,foto of rafters  - Three sleeping bats on rafters of Tipton place Smoky Mountain National Park - JPG,https://static5.bigstockphoto.com/thumbs/4/3/8/small2/8341445.jpg,united states,united states,united states,united states,0
00085.jsonl.gz-478938,Toilet,Smiling housewife cleaning toilet bowl with sponge in...,https://cdn.xxl.thumbs.canstockphoto.com/canstock15683651.jpg,no,no,no,no,0
00046.jsonl.gz-13786993,Bedroom,L Shaped House Plans for Narrow Lots L Shaped Home Plans New 25 More 3 Bedroom 3d Floor Plans L,https://plougonver.com/wp-content/uploads/thon/l-shaped-house-plans-for-narrow-lots-l-shaped-home-plans-new-25-more-3-bedroom-3d-floor-plans-l-of-l-shaped-house-plans-for-narrow-lots-1-160x120.jpg,no,united states,no,no,0
00066.jsonl.gz-14702815,Hill,Soft Sweet baby girl pink and gray quilt Cuddly Bunny Hill Moda quilt,https://overrainbow.com/cgi-images/1864.32800.jpg,no,no,no,-1,0
00002.jsonl.gz-9833912,Apartment,"Three bedroom apartment for rent in Blloku area in Tirana, Albania (TRR-719-7T)",http://www.realestate.al/foto/1562324556-apartamentqeratirane.JPG,albania,albania,albania,albania,0
00101.jsonl.gz-16294596,Flag,Royalty Free Clipart Image of an American Flag,https://static0.iclipart.com/thumbs/170/batch_01/united_states_nfl_tnb.png,united states,united states,united states,-1,0
00007.jsonl.gz-4185953,Island,7-Day Self-Drive-Tour Senja Island from TromsÃÂ¸ - Nature & Culture Holiday,https://media.tacdn.com/media/attractions-splice-spp-674x446/0a/c5/62/6c.jpg,norway,norway,norway,norway,0
230519,Wedding Dress,Best Wedding Dress Trends for 2021 Brides Ã¢ÂÂ Bridal Musings Ã¢ÂÂ Grace Loves Lace Elysian Collection Ã¢ÂÂ Bridal Accessories 3,https://i.pinimg.com/236x/9e/77/30/9e77301765708c2adc4408a051fbd2f0.jpg,no,germany,australia,no,0
629147,Valley,Hunter Valley Accommodation - Rosedale Estate - Lovedale - all,https://driveau.newbook.cloud/crop_220_150/instances_64c7c2a80039e4bad8bc093c601c3e2f_60a48a50e1d55.jpg,australia,australia,australia,-1,0
00022.jsonl.gz-257395,Island,There has been numerous sightings of strings of lights in the sky over Vancouver Island recently. (File photo),https://1fdj2e2egv3mhacyt2xo9f01-wpengine.netdna-ssl.com/wp-content/uploads/2020/03/21062402_web1_200325-CCI-UFO-sightings-Cowichan-stars_1.jpg,canada,canada,canada,-1,0
00125.jsonl.gz-1497350,Road,Cupra Ateca 2019 road test review - cornering front,https://www.autocar.co.uk/sites/autocar.co.uk/files/styles/gallery_slide/public/31-cupra-ateca-2019-rt-cornering-front.jpg?itok=PqSk_NVa,no,spain,no,united kingdom,0
00010.jsonl.gz-9265502,House,Chatsworth House and bridge over the River Derwent,https://picturethepast.org.uk/imagecache/galleryitems/30939.1.640.640.UNPAD.jpeg,united kingdom,united kingdom,united kingdom,united kingdom,0
00043.jsonl.gz-7851882,Apartment,1 Bed - Cross Keys at 1996 Sw 81st Avenue in North Lauderdale FL is a Apartment,http://i.oodleimg.com/item/2564202779u_13x424x360f_apartments_for_rent_in_north_lauderdale_fl/?1472197154,united states,united states,united states,united states,0
00042.jsonl.gz-16244165,Toilet,Padded Toilet Seat and Lid-337440,https://d1s2pua8v98dyj.cloudfront.net/ec/images/alt_337440_7_2x.jpg,no,no,no,-1,0
00070.jsonl.gz-12418447,House,"2 bed terraced house for sale in Lincoln Avenue, Plymouth, Devon PL4",https://lid.zoocdn.com/354/255/3d03d022632cd44c48f2220e401f6c8ad840ef74.jpg,united kingdom,united kingdom,united kingdom,united kingdom,0
00112.jsonl.gz-8934665,Beach,"B & E Automotive Services, Virginia Beach, VA, 23462, our team is waiting to assist you with all your vehicle repair needs.",https://www.autobody-review.com/images/groups/959/88x88/qI7Rj1pXRxymh20XfRsO.jpg,united states,united states,united states,-1,0
00065.jsonl.gz-7655041,Flag,"CLICK HERE to see Many More Patriotic & Flag Pins, Lapel Pins, Earrings",http://ep.yimg.com/ay/bytesngrins/click-here-to-see-many-more-patriotic-flag-pins-lapel-pins-earrings-2.png,no,united states,no,-1,0
53392,Office,2019 Slim Week to View Dairy metal Corner Executive Leather Effect Diary Office,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/12/19/14/oliver-bonas-2020-diary-indybest.jpg,no,no,no,-1,0
00016.jsonl.gz-1581094,Island,"7228 91st Place SE, Mercer Island, WA 98040 (#1597679) :: The Kendra Todd Group at Keller Williams",https://bt-photos.global.ssl.fastly.net/nwmls/640_boomver_2_1597679.jpg,united states,united states,united states,united states,0
00084.jsonl.gz-2344080,Car,LIVRE MASERATI 450S THE FASTED SPORTS RACING CAR IN THE 50s BOOK,https://www.picclickimg.com/d/l400/pict/132956771167_/LIVRE-MASERATI-450S-THE-FASTED-SPORTS-RACING-CAR.jpg,no,no,italy,italy,0
610754,Wedding Dress,Rhiannon Wedding Dress,https://morilee-dev.s3.amazonaws.com/wp-content/uploads/2019/04/17085813/1734-0265-280x400.jpg,no,germany,no,-1,0
00055.jsonl.gz-2234208,Apartment,2 Beds - Costa Verde Village at 8720 Costa Verde Blvd in San Diego CA is a Apartment,http://i.oodleimg.com/item/4207319570u_8x424x360f_apartments_for_rent_in_san_diego_ca/?1490429076,united states,united states,united states,united states,0
240642,Jewelry,6pcs/Set Women Bohemian Vintage Silver Stack Rings Above Knuckle Blue Rings Set  Vintage Joint Ring for Women Jewelry,https://cdn.shopify.com/s/files/1/0091/4377/9391/products/6pcs-Set-Women-Bohemian-Vintage-Silver-Stack-Rings-Above-Knuckle-Blue-Rings-Set-Vintage-Joint-Ring.jpg_640x640_d6bd2c55-981c-4e99-bf05-dff75ad4b628_300x.jpg?v=1571713086,no,no,no,no,0
00068.jsonl.gz-15802085,Island,Chris Budbill of the Viking unleashes a shot against the Island Pub team from just inside the blue line.,http://ktoo.wpengine.netdna-cdn.com/wp-content/uploads/2013/09/JAHA11-630x419.jpg,no,no,united states,-1,0
